kws_method,semantic_similarity,cutoff_threshold,weighting_factor,map@25,map@50
WRN,,,,94.30567073677726,88.29031771332264
WRN,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.1,,93.96424679521704,87.97452592748908
WRN,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.1,,94.29096097076786,88.27560794731325
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.1,,94.16426895925157,88.20279524614178
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.1,,94.24633278826879,88.2369692730739
WRN,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.1,,93.4938661453847,87.45161950695412
WRN,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.1,,94.32672114658048,88.3177087298261
WRN,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.3,,76.40199098076674,71.45949661943447
WRN,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.3,,91.74369872763992,86.21286282657536
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.3,,77.32126064952656,71.77247064887932
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.3,,92.02027546733676,86.31804651906715
WRN,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.3,,85.8066965192202,80.42044468683211
WRN,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.3,,94.32053413928367,88.32639104821641
WRN,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.5,,66.96395388292953,62.76276801873439
WRN,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.5,,89.50552077470132,84.26519670950952
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.5,,67.58589040059324,63.15225784030416
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.5,,89.87127077729824,84.51731808970838
WRN,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.5,,73.8282999755447,69.08580575698286
