kws_method,semantic_similarity,weighting_factor,map@25,map@25_std,map@50,map@50_std
WRN,,,79.15017194181621,,72.84755978801051,
WRN,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.0,54.99209447900605,,50.105604297236994,
WRN,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.0,49.26052758749787,,44.84312991264533,
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.0,54.33981062655795,,49.482031482720664,
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.0,47.9589087241134,,43.7144351829308,
WRN,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.0,56.032671327054985,,51.236391291489404,
WRN,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.0,53.988501956603926,,49.1097118654024,
WRN,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.1,62.78069545623911,,57.35547426223874,
WRN,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.1,51.43267323029359,,46.885303025229405,
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.1,62.21706500712633,,56.82902563422915,
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.1,51.4624052622514,,46.88249082970678,
WRN,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.1,64.12791099444786,,58.7438254667956,
WRN,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.1,56.22282080886415,,51.221616396421744,
WRN,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.2,63.804707033324505,,58.25070234302444,
WRN,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.2,53.91594442664426,,49.09549727044975,
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.2,62.88256186235056,,57.422184002243185,
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.2,53.11659687933768,,48.38133328959135,
WRN,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.2,65.1576180407202,,59.662609525892776,
WRN,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.2,58.234553664760725,,53.05113122542156,
